Tag, Frequency
<div>, 185
<a>, 146
<li>, 102
<p>, 51
<span>, 50
<script>, 42
<link>, 33
<path>, 26
<input>, 24
<svg>, 22
<symbol>, 21
<meta>, 20
<img>, 17
<br>, 16
<cite>, 13
<use>, 12
<ul>, 12
<label>, 11
<section>, 10
<h2>, 8
<style>, 8
<i>, 6
<form>, 5
<button>, 4
<aside>, 4
<code>, 4
<ol>, 3
<pre>, 3
<filter>, 2
<h3>, 2
<polygon>, 2
<header>, 2
<body>, 1
<h1>, 1
<footer>, 1
<feGaussianBlur>, 1
<title>, 1
<fieldset>, 1
<em>, 1
<html>, 1
<head>, 1
<nav>, 1
<legend>, 1
<main>, 1
<textarea>, 1
<small>, 1
<article>, 1
